mécanisme                          poutres   cin. ddl/lignes   dyn. ddl/lignes  corps ddl/lignes  (pos/ang/nœuds-bout/soudés)
Balance                                  3               4/5             10/11               9/8  (2/0/5/0)
Cantilever simple                        1               0/1               2/3               3/4  (0/0/2/0)
Cantilever                               1               0/1               2/3               3/4  (0/0/2/0)
Core XY - 2 moteurs                      9             40/52             58/70             29/41  (15/10/17/6)
Core XY                                  9             40/49             58/67             29/38  (15/10/17/6)
CP                                       2               4/4               8/8               4/4  (2/0/4/1)
Double Cantilever bis                    2               2/3               6/7               6/7  (1/0/3/0)
Double Cantilever                        2               2/3               6/7               6/7  (1/0/3/0)
Déconnexion courroie                     4             17/20             25/28             17/19  (7/3/7/1)
Huygen's chain drive                     4             23/22             31/30             19/18  (9/5/8/0)
Jansen's linkage (upside-down)          10             14/16             34/36             32/33  (6/2/7/0)
Jansen's linkage                        10             14/16             34/36             32/33  (6/2/7/0)
Line from rotation                       9             12/12             30/30             27/26  (6/0/8/0)
Petit                                    2               4/3               8/7               6/4  (2/0/3/0)
Poulie bloqueuse                         2             12/16             16/20             12/16  (4/4/3/0)
Poutre sur joint de courroie             1               8/9             10/11               7/7  (3/2/2/0)
Puente                                  18             23/23             59/59             55/54  (11/1/12/0)
Roues isolées                            0               5/3               5/3               5/3  (1/3/0/0)
Test slider                              2               6/6             10/10               6/6  (3/0/4/1)
trac-comp                                0               2/2               2/2               2/2  (1/0/0/0)
Treillis                                 6               8/8             20/20             18/18  (4/0/5/1)
Vilbrequin + masse lourde                2               7/7             11/11               7/6  (3/1/3/0)
Vilbrequin double slider                 7             17/19             31/33             24/23  (8/1/10/0)
Vilbrequin                               2               7/7             11/11               7/6  (3/1/3/0)
