mechanism | ms16 | ms64 | ratio | drift16 J | drift64 J | jump16 N·m | jump64 N·m
Balance.slidep | 6.1 | 4.2 | 0.68 | 0.048 | 0.041 | - | -
CP.slidep | 6.1 | 15.1 | 2.46 | 5.765 | 2.898 | - | -
Cantilever simple.slidep | 0.6 | 2.1 | 3.51 | 0.000 | 0.000 | - | -
Cantilever.slidep | 1.0 | 1.8 | 1.81 | 0.000 | 0.000 | - | -
Core XY - 2 moteurs.slidep | 257.6 | 144.3 | 0.56 | 0.020 | 0.100 | 0.96 | 0.57
Core XY.slidep | 253.7 | 813.6 | 3.21 | 9.606 | 9.263 | 1.27 | 0.00
Crankshaft.slidep | 6.0 | 5.6 | 0.93 | 0.018 | 0.017 | 0.17 | 0.17
Double Cantilever bis.slidep | 2.7 | 3.0 | 1.12 | 0.000 | 0.000 | - | -
Double Cantilever.slidep | 2.4 | 3.9 | 1.64 | 0.000 | 0.000 | - | -
Déconnexion courroie.slidep | 24.9 | 25.0 | 1.00 | 0.207 | 0.109 | 0.92 | 0.32
Hoist.slidep | 60.0 | 75.3 | 1.26 | 0.000 | 0.001 | - | -
Huygen's chain drive.slidep | 44.8 | 65.4 | 1.46 | 19.351 | 12.953 | 2.00 | 2.00
Jansen's linkage (upside-down).slidep | 15.7 | 18.3 | 1.16 | 0.037 | 0.079 | 0.00 | 0.00
Jansen's linkage.slidep | 35.1 | 55.6 | 1.59 | 1.241 | 0.465 | 18.44 | 4.18
Line from rotation.slidep | 17.0 | 24.7 | 1.45 | 0.300 | 0.396 | 1.25 | 1.63
Mass-Spring-Dampener.slidep | 0.6 | 3.4 | 6.12 | 0.003 | 0.003 | - | -
Masse suspendue.slidep | 12.8 | 13.1 | 1.03 | 153.310 | 150.873 | - | -
Masse-slidep-pivot.slidep | 1.7 | 3.9 | 2.29 | 0.000 | 0.000 | - | -
Masse-slider.slidep | 2.4 | 2.3 | 0.96 | 0.000 | 0.000 | - | -
Petit.slidep | 3.7 | 4.7 | 1.28 | 0.016 | 0.004 | 0.00 | 0.00
Poulie bloqueuse.slidep | 32.4 | 45.5 | 1.41 | 0.167 | 0.008 | 0.97 | 1.00
Poutre sur joint de courroie.slidep | 11.6 | 12.5 | 1.09 | 1.247 | 1.259 | 0.29 | 0.92
Puente.slidep | 70.0 | 175.9 | 2.51 | 0.356 | 0.254 | 0.00 | 0.00
Roues isolées.slidep | 1.4 | 3.8 | 2.63 | 0.003 | 0.001 | 0.00 | 0.00
Test slider.slidep | 10.5 | 25.6 | 2.44 | 5.407 | 5.407 | - | -
Treillis.slidep | 17.0 | 16.5 | 0.97 | 0.000 | 0.000 | - | -
Vilbrequin + masse lourde.slidep | 11.8 | 8.2 | 0.69 | 0.039 | 2.923 | 0.70 | 1.72
Vilbrequin double slider.slidep | 18.6 | 24.4 | 1.31 | 0.046 | 0.010 | 0.02 | 0.08
Vilbrequin.slidep | 4.1 | 4.5 | 1.12 | 0.007 | 0.086 | 0.01 | 0.24
trac-comp.slidep | 2.1 | 3.5 | 1.64 | 0.000 | 0.000 | - | -
