mechanism | sweeps/sub 16 | capped 16 | sweeps/frame 16 | sweeps/sub 64 | capped 64 | sweeps/frame 64 | ratio
Balance.slidep | 23.0 | 0% | 367 | 2.7 | 0% | 174 | 0.47
CP.slidep | 199.2 | 100% | 3187 | 198.1 | 99% | 12677 | 3.98
Cantilever simple.slidep | 2.0 | 0% | 32 | 1.0 | 0% | 64 | 2.00
Cantilever.slidep | 2.0 | 0% | 32 | 1.0 | 0% | 64 | 2.00
Core XY - 2 moteurs.slidep | 159.7 | 60% | 2555 | 15.7 | 0% | 1002 | 0.39
Core XY.slidep | 200.0 | 100% | 3200 | 195.2 | 96% | 12493 | 3.90
Crankshaft.slidep | 33.0 | 0% | 528 | 5.9 | 0% | 378 | 0.72
Double Cantilever bis.slidep | 5.0 | 0% | 80 | 2.0 | 0% | 128 | 1.60
Double Cantilever.slidep | 5.0 | 0% | 80 | 2.0 | 0% | 128 | 1.60
Déconnexion courroie.slidep | 43.0 | 3% | 688 | 9.6 | 0% | 612 | 0.89
Hoist.slidep | 156.3 | 75% | 2501 | 44.5 | 14% | 2845 | 1.14
Huygen's chain drive.slidep | 79.7 | 1% | 1274 | 28.5 | 0% | 1822 | 1.43
Jansen's linkage (upside-down).slidep | 47.0 | 0% | 753 | 5.8 | 0% | 371 | 0.49
Jansen's linkage.slidep | 21.1 | 0% | 338 | 7.7 | 0% | 495 | 1.46
Line from rotation.slidep | 65.3 | 4% | 1045 | 5.3 | 0% | 341 | 0.33
Mass-Spring-Dampener.slidep | 1.0 | 0% | 16 | 1.0 | 0% | 64 | 4.00
Masse suspendue.slidep | 199.9 | 100% | 3199 | 38.9 | 0% | 2492 | 0.78
Masse-slidep-pivot.slidep | 2.0 | 0% | 32 | 1.0 | 0% | 64 | 2.00
Masse-slider.slidep | 10.0 | 0% | 160 | 2.0 | 0% | 128 | 0.80
Petit.slidep | 40.1 | 0% | 641 | 19.5 | 0% | 1246 | 1.94
Poulie bloqueuse.slidep | 37.9 | 0% | 606 | 11.2 | 0% | 714 | 1.18
Poutre sur joint de courroie.slidep | 21.4 | 0% | 343 | 4.2 | 0% | 269 | 0.78
Puente.slidep | 199.6 | 100% | 3194 | 196.5 | 98% | 12573 | 3.94
Roues isolées.slidep | 2.0 | 0% | 32 | 1.9 | 0% | 123 | 3.83
Test slider.slidep | 49.7 | 24% | 796 | 43.6 | 1% | 2793 | 3.51
Treillis.slidep | 191.0 | 0% | 3056 | 35.0 | 0% | 2240 | 0.73
Vilbrequin + masse lourde.slidep | 190.8 | 62% | 3053 | 22.9 | 0% | 1467 | 0.48
Vilbrequin double slider.slidep | 33.1 | 0% | 529 | 8.3 | 0% | 532 | 1.01
Vilbrequin.slidep | 24.7 | 0% | 396 | 3.8 | 0% | 240 | 0.61
trac-comp.slidep | 32.0 | 0% | 512 | 24.0 | 0% | 1536 | 3.00
