tolundefined/w0 6087ms            | tol0.00013635384781205697/w0 5790ms| tol0.00004090615434361709/w0 6982ms| tol0.000013635384781205697/w0 8216ms
  0  -20.00 -0.026*  1031 141         |  -20.00 -0.026*  1031 141         |  -20.00 -0.026*  1031 141         |  -20.00 -0.026*  1031 141         
  1  -20.00 -0.053*   428  28         |  -20.00 -0.053*   428  28         |  -20.00 -0.053*   428  28         |  -20.00 -0.053*   428  28         
  2  -20.00 -0.079*   432  27         |  -20.00 -0.079*   432  27         |  -20.00 -0.079*   432  27         |  -20.00 -0.079*   432  27         
  3  -20.00 -0.106*   432  27         |  -20.00 -0.106*   432  27         |  -20.00 -0.106*   432  27         |  -20.00 -0.106*   432  27         
  4  -20.00 -0.133*   432  27         |  -20.00 -0.133*   432  27         |  -20.00 -0.133*   432  27         |  -20.00 -0.133*   432  27         
  5  -20.00 -0.161*   432  27         |  -20.00 -0.161*   432  27         |  -20.00 -0.161*   432  27         |  -20.00 -0.161*   432  27         
  6  -20.00 -0.188*   432  27         |  -20.00 -0.188*   432  27         |  -20.00 -0.188*   432  27         |  -20.00 -0.188*   432  27         
  7  -20.00 -0.216*   432  27         |  -20.00 -0.216*   432  27         |  -20.00 -0.216*   432  27         |  -20.00 -0.216*   432  27         
  8  -20.00 -0.245*   432  27         |  -20.00 -0.245*   432  27         |  -20.00 -0.245*   432  27         |  -20.00 -0.245*   432  27         
  9  -20.00 -0.273*   432  27         |  -20.00 -0.273*   432  27         |  -20.00 -0.273*   432  27         |  -20.00 -0.273*   432  27         
 10  -20.00 -0.303*   432  27         |  -20.00 -0.303*   432  27         |  -20.00 -0.303*   432  27         |  -20.00 -0.303*   432  27         
 11  -20.00 -0.333*   432  27         |  -20.00 -0.333*   432  27         |  -20.00 -0.333*   432  27         |  -20.00 -0.333*   432  27         
 12  -20.00 -0.363*   432  27         |  -20.00 -0.363*   432  27         |  -20.00 -0.363*   432  27         |  -20.00 -0.363*   432  27         
 13  -20.00 -0.394*   432  27         |  -20.00 -0.394*   432  27         |  -20.00 -0.394*   432  27         |  -20.00 -0.394*   432  27         
 14  -20.00 -0.426*   432  27         |  -20.00 -0.426*   432  27         |  -20.00 -0.426*   432  27         |  -20.00 -0.426*   432  27         
 15  -20.00 -0.459*   432  27         |  -20.00 -0.459*   432  27         |  -20.00 -0.459*   432  27         |  -20.00 -0.459*   432  27         
 16  -20.00 -0.492*   433  28         |  -20.00 -0.492*   433  28         |  -20.00 -0.492*   433  28         |  -20.00 -0.492*   433  28         
 17  -20.00 -0.526*   442  28         |  -20.00 -0.526*   442  28         |  -20.00 -0.526*   442  28         |  -20.00 -0.526*   442  28         
 18  -20.00 -0.562*   448  28         |  -20.00 -0.562*   448  28         |  -20.00 -0.562*   448  28         |  -20.00 -0.562*   448  28         
 19  -20.00 -0.598*   448  28         |  -20.00 -0.598*   448  28         |  -20.00 -0.598*   448  28         |  -20.00 -0.598*   448  28         
 20  -20.00 -0.636*   448  28         |  -20.00 -0.636*   448  28         |  -20.00 -0.636*   448  28         |  -20.00 -0.636*   448  28         
 21  -20.00 -0.674*   448  28         |  -20.00 -0.674*   448  28         |  -20.00 -0.674*   448  28         |  -20.00 -0.674*   448  28         
 22  -20.00 -0.714*   448  28         |  -20.00 -0.714*   448  28         |  -20.00 -0.714*   448  28         |  -20.00 -0.714*   448  28         
 23  -20.00 -0.756*   448  28         |  -20.00 -0.756*   448  28         |  -20.00 -0.756*   448  28         |  -20.00 -0.756*   448  28         
