sw200/sub16                | sw2000/sub16               | sw200/sub64               
  0  -20.00 -0.026*            |  -20.00 -0.026*            |  -20.00 0.017*            
  1  -20.00 -0.053*            |  -20.00 -0.053*            |  -20.00 -0.042*           
  2  -20.00 -0.079*            |  -20.00 -0.079*            |  -20.00 -0.078*           
  3  -20.00 -0.106*            |  -20.00 -0.106*            |  -20.00 -0.104*           
  4  -20.00 -0.133*            |  -20.00 -0.133*            |  -20.00 -0.129*           
  5  -20.00 -0.161*            |  -20.00 -0.161*            |  -20.00 -0.155*           
  6  -20.00 -0.188*            |  -20.00 -0.188*            |  -20.00 -0.181*           
  7  -20.00 -0.216*            |  -20.00 -0.216*            |  -20.00 -0.208*           
  8  -20.00 -0.245*            |  -20.00 -0.245*            |  -20.00 -0.234*           
  9  -20.00 -0.273*            |  -20.00 -0.273*            |  -20.00 -0.262*           
 10  -20.00 -0.303*            |  -20.00 -0.303*            |  -20.00 -0.289*           
 11  -20.00 -0.333*            |  -20.00 -0.333*            |  -20.00 -0.318*           
 12  -20.00 -0.363*            |  -20.00 -0.363*            |  -20.00 -0.346*           
 13  -20.00 -0.394*            |  -20.00 -0.394*            |  -20.00 -0.376*           
 14  -20.00 -0.426*            |  -20.00 -0.426*            |  -20.00 -0.406*           
 15  -20.00 -0.459*            |  -20.00 -0.459*            |  -20.00 -0.437*           
 16  -20.00 -0.492*            |  -20.00 -0.492*            |  -20.00 -0.469*           
 17  -20.00 -0.526*            |  -20.00 -0.526*            |  -20.00 -0.501*           
 18  -20.00 -0.562*            |  -20.00 -0.562*            |  -20.00 -0.535*           
 19  -20.00 -0.598*            |  -20.00 -0.598*            |  -20.00 -0.569*           
 20  -20.00 -0.636*            |  -20.00 -0.636*            |  -20.00 -0.605*           
 21  -20.00 -0.674*            |  -20.00 -0.674*            |  -20.00 -0.642*           
 22  -20.00 -0.714*            |  -20.00 -0.714*            |  -20.00 -0.680*           
 23  -20.00 -0.756*            |  -20.00 -0.756*            |  -20.00 -0.719*           
 24  -20.00 -0.798*            |  -20.00 -0.798*            |  -20.00 -0.760*           
 25  -20.00 -0.843*            |  -20.00 -0.843*            |  -20.00 -0.802*           
 26  -20.00 -0.888*            |  -20.00 -0.888*            |  -20.00 -0.846*           
 27  -20.00 -0.939*            |  -20.00 -0.939*            |  -20.00 -0.892*           
 28  -20.00 -0.986*            |  -20.00 -0.986*            |  -20.00 -0.939*           
