mecanisme                        poutres  inconnues x lignes   h   assemblage+solve   +flexibilite
Balance                                3      20 x    24    1        1.22 ms       1.13 ms
CP                                     2      14 x    18    0        0.14 ms       0.24 ms
Cantilever simple                      1       8 x     9    0        0.05 ms       0.07 ms
Cantilever                             1       8 x     9    0        0.04 ms       0.11 ms
Core XY - 2 moteurs                    9     105 x    84   23       13.57 ms      20.54 ms
Core XY                                9     105 x    84   23       12.55 ms      14.05 ms
Double Cantilever bis                  2      14 x    15    0        0.12 ms       0.21 ms
Double Cantilever                      2      14 x    15    0        0.09 ms       0.12 ms
Déconnexion courroie                   4      41 x    39    5        1.08 ms       1.20 ms
Huygen's chain drive                   4      36 x    36    4        0.86 ms       1.34 ms
Jansen's linkage (upside-down)        10      47 x    51    1        1.59 ms       1.85 ms
Jansen's linkage                      10      47 x    51    1        1.70 ms       1.73 ms
Line from rotation                     9      44 x    51    0        1.22 ms       1.39 ms
Masse suspendue                        5      24 x    30    0        0.30 ms       0.40 ms
Petit                                  2      10 x    15    0        0.06 ms       0.09 ms
Poulie bloqueuse                       2      19 x    18    3        0.28 ms       0.41 ms
Poutre sur joint de courroie           1      11 x     9    2        0.06 ms       0.09 ms
Puente                                18      83 x    93    1        7.01 ms       8.22 ms
Roues isolées                       (pas de poutre)
Test slider                            2      18 x    21    0        0.15 ms       0.18 ms
Treillis                               6      30 x    36    0        0.52 ms       0.62 ms
Vilbrequin + masse lourde              2      17 x    18    1        0.17 ms       0.22 ms
Vilbrequin double slider               7      51 x    54    3        1.81 ms       2.29 ms
Vilbrequin                             2      17 x    18    1        0.25 ms       0.20 ms
trac-comp                              2      12 x    15    0        0.07 ms       0.09 ms
