mecanisme                       pose   h(SVD) h(QR)   ecart relatif max sur les torseurs   SVD ms   QR ms
Balance                           30       1     1          2.60e-15      8.81    4.09
Balance                          200       1     1          2.12e-15      5.25    2.79
CP                                30       0     0          1.90e-15      0.41    0.39
CP                               200       0     0          4.29e-16      1.70    0.49
Cantilever simple                 30       0     0          5.77e-16      0.42    0.16
Cantilever simple                200       0     0          5.77e-16      0.38    0.17
Cantilever                        30       0     0          3.56e-16      0.33    0.17
Cantilever                       200       0     0          3.56e-16      0.33    0.20
Core XY - 2 moteurs               30      23    23          5.13e-12    165.94   40.51
Core XY - 2 moteurs              200      23    23          2.74e-11    120.59   41.07
Core XY                           30      23    23          1.35e-11    114.10   22.12
Core XY                          200      23    23          6.03e-12    110.23   15.82
Double Cantilever bis             30       0     0          6.28e-16      0.28    0.15
Double Cantilever bis            200       0     0          1.22e-15      0.28    0.18
Double Cantilever                 30       0     0          3.48e-16      0.40    0.30
Double Cantilever                200       0     0          3.48e-16      0.26    0.16
Déconnexion courroie              30       5     5          2.36e-14      7.42    1.30
Déconnexion courroie             200       5     5          2.24e-14      7.93    1.77
Huygen's chain drive              30       4     4          1.63e-15      5.18    1.20
Huygen's chain drive             200       4     4          2.39e-15      4.69    1.05
Jansen's linkage (upside-down)    30       1     1          4.11e-15     10.88    1.78
Jansen's linkage (upside-down)   200       1     1          4.07e-15     11.75    1.81
Jansen's linkage                  30       1     1          3.58e-15     13.00    2.02
Jansen's linkage                 200       1     1          2.74e-15     10.22    1.55
Line from rotation                30       0     0          6.41e-15      4.49    1.46
Line from rotation               200       0     0          1.11e-13      4.12    1.38
Masse suspendue                   30       0     0          4.45e-15      1.00    0.54
Masse suspendue                  200       0     0          2.06e-15      0.85    0.48
Petit                             30       0     0          3.40e-16      0.18    0.12
Petit                            200       0     0          1.35e-15      0.19    0.13
Poulie bloqueuse                  30       3     3          1.21e-13      1.21    0.31
Poulie bloqueuse                 200       3     3          3.16e-13      1.00    0.25
Poutre sur joint de courroie      30       2     2          2.01e-15      0.32    0.11
Poutre sur joint de courroie     200       2     2          2.04e-15      0.44    0.15
Puente                            30       1     1          2.83e-14     63.68    8.35
Puente                           200       1     1          5.61e-14     69.64    8.40
Roues isolées                     30    (pas de poutre)
Test slider                       30       0     0          9.35e-16      0.37    0.22
Test slider                      200       0     0          9.18e-16      0.41    0.24
Treillis                          30       0     0          1.45e-15      1.76    0.73
Treillis                         200       0     0          3.90e-15      1.48    1.22
Vilbrequin + masse lourde         30       1     1          4.40e-15      0.79    0.24
Vilbrequin + masse lourde        200       1     1          7.50e-15      0.91    0.26
Vilbrequin double slider          30       3     3          1.21e-15     15.06    2.36
Vilbrequin double slider         200       3     3          8.73e-15     16.77    2.53
Vilbrequin                        30       1     1          2.09e-15      0.68    0.21
Vilbrequin                       200       1     1          7.26e-16      0.75    0.22
trac-comp                         30       0     0          1.69e-15      0.23    0.19
trac-comp                        200       0     0          1.69e-15      0.23    0.15

DESACCORDS DE RANG : 0    ECART RELATIF MAX : 2.74e-11
